1208,16.5,93,10.375
1209,11,86,10.375
1210,16.5,108,10.375
1211,11,105,10.375
1212,16.5,123,10.375
1213,11,117.5,10.375
1214,16.5,138,10.375
1215,11,131,10.375
1216,16.5,153,10.375
1201A,24.5,27,10.375
1201B,31.5,27,10.375
1201C,31.5,10.5,10.375
1201D,18,10.5,10.375
1201E,11,10.5,10.375
1201F,11,27,10.375
A020,110.9,58.16,5
A020A,125.9,69.74,5
A020B,125.9,75.24,5
A020C,116.4,75.24,5
A020D,102.82,75.24,5
A020E,92.82,75.24,5
A100,319.54,34.58,5
A101,328.54,44.66,5
A101A,339.04,49.66,5
A102,316.54,44.66,5
A103,328.54,69.24,5
A104,317.54,70.24,5
A105,328.54,88.74,5
A106,317.54,72.74,5
A107,328.54,102.82,5
A108,316.54,88.74,5
A109,328.54,116.9,5
A110,317.54,102.82,5
A111,328.54,141.98,5
A112,317.54,116.9,5
A113,329.54,158.98,5
A113A,339.04,165.98,5
A114,316.54,145.98,5
A115,328.54,171.56,5
A116,316.54,175.56,5
A117,328.54,174.56,5
A119,328.54,190.14,5
A120,318.04,191.14,5
A120A,314.04,197.14,5
A120B,314.04,187.56,5
A121,328.54,191.14,5
A401,300.46,72.74,5
A401A,200.14,50.16,5
A401B,145.98,47.66,5
A402,289.38,73.74,5
A403,289.38,72.74,5
A406,67.74,66.16,5
A407,79.74,78.74,5
A408,79.74,65.24,5
A413,150.98,72.24,5
A414,138.48,72.24,5
A415,91.82,74.24,5
A504,317.54,137.98,5
A505,317.54,149.98,5
1000,165.5,82.5,10.375
1001,190,52,10.375
1002,204.5,66.5,10.375
1003,233.5,52,10.375
1003A,260.5,48,10.375
1003B,260.5,36.5,10.375
1004,233.5,66.5,10.375
1100,298.5,54.5,10.375
A200,22.58,63.66,5
A200A,36.08,50.66,5
A200B,36.08,60.66,5
A201,22.58,19.08,5
A201A,10,14.58,5
A201B,10,29.08,5
A201C,14.58,13.5,5
A202,36.08,50.16,5
A203,10,38.5955,5
A204,22.58,63.66,5
A205,36.16,63.66,5
A205A,10,55.66,5
A206,17.58,77.74,5
A207,10,72.74,5
A208,31.58,88.74,5
A209,10,88.74,5
A210,31.58,98.82,5
A211,14.58,98.82,5
A212,14.58,107.82,5
A213,10,98.82,5
A214,31.58,117.4,5
A215,14.58,113.82,5
A216,31.58,127.9,5
A217,10,117.4,5
A218,25.08,122.9,5
A219,14.58,122.9,5
A220,31.58,147.98,5
A221,10,127.9,5
A222,25.08,141.98,5
A223,14.58,130.9,5
A224,17.58,157.98,5
A225,10,147.98,5
A601,36.08,67.24,5
A602,31.58,77.74,5
1217,11,150,10.375
1218,29,162.5,10.375
1219,11,162,10.375
2201,18.36,15.36,26.04
2202,24.36,31.72,26.04
2203,18.36,31.72,26.04
2204,24.36,46.58,26.04
2205,18.36,46.58,26.04
2206,31.22,52.58,26.04
2207,18.36,61.58,26.04
2208,31.22,64.94,26.04
2209,18.36,76.44,26.04
2210,24.36,91.8,26.04
2211,18.36,91.8,26.04
2212,24.36,106.6,26.04
2213,18.36,106.6,26.04
2214,24.36,122.52,26.04
2215,18.36,122.52,26.04
2216,24.36,136.52,26.04
2217,18.36,136.52,26.04
2218,27.36,146.38,26.04
2219,18.36,146.38,26.04
2221,16.36,162.24,26.04
2222,20.86,182.1,26.04
2223,15.36,180.6,26.04
2224,20.86,188.96,26.04
2225,15.36,197.96,26.04
2227,12.36,205.46,26.04
2200,24.36,21.36,26.04
2225A,12.86,192.46,26.04
