1001,100.4309705,85.887375,35
1002,100.4309705,74.9166943,35
1003,108.561642,104.7367909,35
1101,46.035633,55.3572761,35
1103,34.125917,55.3572761,35
1105,19.5594182,56.5482477,35
1107,9.2987398,56.7772807,35
1109,10.7416477,41.2717466,35
1009a,20.2694205,38.8898034,35
1109b,20.0403875,22.674267,35
1111,39.5998057,41.2717466,35
1112,32.4539761,38.4088341,35
1113,39.1188364,25.7662125,35
1114,30.3010659,22.674267,35
1125,25.5371795,13.3526239,35
1127,45.8066,15.2765011,35
1140,64.6560159,61.0831011,35
1200,107.8287364,63.213108,35
1201,194.1970807,64.6560159,35
1201a,204.9387284,54.6243705,35
1202,183.9364023,31.4920375,35
1205,196.8309602,43.6536898,35
1207,192.0441705,30.0720329,35
1208,183.9364023,16.2155364,35
1209,195.1590193,10.4897114,35
1211,209.9545511,14.7955318,35
1211a,199.2129034,14.7955318,35
1211b,205.900667,11.9326193,35
1302,72.6492676,84.5818869,35
1303,72.1682983,75.9931494,35
1305,63.3505278,93.3996574,35
1401,160.6895528,79.7950972,35
1403,212.3364943,68.480867,35
1501,89.2312568,99.4919352,35
1502,92.8041716,118.0894148,35
1502a,97.8199943,122.8762045,35
1502b,102.835817,144.3365966,35
1502c,95.4380511,144.3365966,35
1502d,84.6964034,144.3365966,35
1502e,82.7954295,139.3207739,35
1502f,90.6512614,122.3952352,35
1503,77.5276705,110.2335829,35
1505,61.3121341,110.2335829,35
1507,55.5863091,113.0964954,35
1509,64.8850489,122.6242682,35
1511,64.8850489,132.4039773,35
1513,50.5704864,141.4736841,35
1515,55.5863091,144.3365966,35
1517,67.9998977,144.3365966,35
1600a,205.6487307,123.3342705,35
1600b,109.1552,144.3365966,35
1600d,129.667,150.8018,35
1601,120.7232943,110.2335829,35
1602,130.9839727,118.3413511,35
1602a,125.739117,122.1432989,35
1602b,125.739117,132.1749443,35
1602c,133.5949489,144.3365966,35
1602d,117.1503795,144.3365966,35
1603,135.9997954,110.2335829,35
1604,154.597275,118.3413511,35
1604a,159.8421307,122.1432989,35
1604b,159.8421307,137.9007693,35
1604c,154.826308,144.3365966,35
1604d,143.145625,144.3365966,35
1609,159.8421307,110.4626159,35
1611,174.6376625,110.4626159,35
1612,183.2264,118.3413511,35
1612a,177.9815443,122.3952352,35
1612b,177.9815443,137.9007693,35
1612c,179.1725159,144.3365966,35
1612d,188.2422227,144.3365966,35
1612e,195.8690216,141.7256204,35
1613,184.4173716,110.4626159,35
1615,202.7858182,104.2558216,35
1617,202.7858182,114.0355307,35
1900b,95.1861148,91.1322307,35
1901,87.7883489,74.9166943,35
1902,75.3976636,74.9166943,35
1904,204.9387284,48.4404795,35
1905,208.5116432,135.2668898,35
2002,115.384828,111.688016,50
2003,107.3268,79.966984,50
2101,55.043316,57.019492,50
2102,51.499828,48.9785,50
2103,42.027812,56.082512,50
2104,27.359816,48.739996,50
2105,31.85732,56.082512,50
2107,21.686828,56.542484,50
2109,13.6288,62.709516,50
2111,17.8878,46.849,50
2113,17.666332,35.247484,50
2115,17.8878,21.772008,50
2117,30.204828,28.858984,50
2119,42.027812,28.858984,50
2121,56.457304,23.663004,50
2125,24.2763,14.667996,50
2127,24.2763,19.1655,50
2130,69.472808,49.694012,50
2140,110.410316,67.428488,50
2201,179.968304,58.671984,50
2202,178.077308,37.155516,50
2203,192.983808,55.128496,50
2204,208.128812,37.155516,50
2205,206.237816,55.128496,50
2207,218.537808,59.148992,50
2209,218.299304,30.051504,50
2211,214.755816,12.777,50
2213,210.019808,13.015504,50
2215,197.242808,13.015504,50
2216,185.18132,18.449988,50
2217,178.79282,12.777,50
2301,76.338316,92.67584,50
2302,76.338316,90.393016,50
2303,76.338316,81.398008,50
2501,101.892316,117.599508,50
2502,65.92932,126.117508,50
2502a,86.985816,130.853516,50
2502b,86.985816,141.501016,50
2502c,71.1253,154.499484,50
2503,90.529304,117.838012,50
2504,59.54082,126.356012,50
2504a,37.0533,108.843004,50
2504b,37.0533,125.879004,50
2504c,37.0533,136.049496,50
2504d,37.0533,145.981484,50
2504e,37.0533,157.344496,50
2504f,51.261324,154.499484,50
2507,50.17102,117.838012,50
2601,128.400332,147.889516,50
2602,151.824832,126.356012,50
2602a,116.798816,130.615012,50
2602b,116.798816,141.262512,50
2602c,89.35382,154.499484,50
2602d,99.762816,154.278016,50
2602e,111.125828,154.499484,50
2602f,125.078312,154.499484,50
2602g,139.2693,154.499484,50
2602h,156.782308,154.499484,50
2602i,167.191304,154.499484,50
2602j,181.160824,154.499484,50
2602k,157.49782,141.024008,50
2602l,157.259316,129.660996,50
2603,144.959324,117.838012,50
2609,170.27482,117.838012,50
2611,186.1183,117.838012,50
2612,182.336308,126.117508,50
2613,197.004304,117.838012,50
2615,213.341828,108.843004,50
